state,agg,construction,manufacturing,wholesale,retail,transport,info,finance,professional,educational,arts,public,other
Alabama,1.6,6.4,14,2.5,12,5.3,1.7,5.6,9.3,22.5,8.3,5.6,5.2
Alaska,5.5,7.3,3.6,1.9,10.8,7.9,2.1,3.8,8.5,23.6,9.1,11.5,4.4
Arizona,1.5,6.6,7.2,2.3,12.2,4.9,1.8,8.2,12,22.2,10.9,5.2,5
Arkansas,3.1,6.6,13.6,2.4,13.4,5.4,1.7,4.7,7.3,24.4,8.1,4.6,4.7
California,2.4,6,9.7,3,11,4.8,2.9,6.2,13.1,20.9,10.3,4.4,5.3
Colorado,2.5,7.7,6.9,2.6,11,4.6,2.9,6.9,13.7,20.6,10.9,4.8,4.9
Connecticut,0.4,5.7,10.6,2.5,10.8,3.7,2.4,9.1,11.5,26.5,8.6,3.7,4.5
Delaware,1,6.2,8.6,1.8,12.2,4.8,1.5,9.7,10.2,24.9,9.1,5.6,4.4
Florida,1.1,6.8,5.2,2.8,13.3,5.1,2,7.7,12.8,21.1,12.3,4.5,5.3
Georgia,1.2,6.4,10.7,2.9,11.9,6,2.5,6.3,11.7,20.9,9.4,5.2,4.9
Hawaii,1.5,7.3,3,2.3,11.7,6,1.6,6.8,10.3,20.4,16,8.8,4.3
Idaho,5.5,7,9.8,2.6,12.2,4.8,1.8,5.3,9.9,22.7,9.1,5,4.3
Illinois,1.1,5.2,12.4,3.1,10.9,6,2,7.3,11.6,22.9,9.1,3.7,4.7
Indiana,1.4,5.8,18.8,2.6,11.4,5.2,1.5,5.2,8.1,22.9,9,3.4,4.7
Iowa,3.9,6.2,15.2,2.9,11.7,4.6,1.8,7.6,7.2,24.4,7.3,3.1,4.1
Kansas,3.4,6.3,12.7,2.8,10.9,4.7,2.1,6.1,9.2,24.6,8.1,4.5,4.6
Kentucky,2.5,5.9,14.3,2.5,12,6,1.7,5.5,7.9,24,8.8,4.4,4.5
Louisiana,4.6,8,7.9,2.6,11.6,5.2,1.6,5.1,8.8,23.6,10.5,5.4,5.1
Maine,2.5,6.9,9.2,2.3,13.4,3.8,1.7,6,8.6,27.7,9,4.3,4.6
Maryland,0.5,6.7,4.6,1.9,9.8,4.4,2.1,6.2,15.4,23.8,8.4,11,5.2
Massachusetts,0.4,5.5,9.1,2.3,10.6,3.6,2.3,7.5,13.4,28.1,8.8,4,4.4
Michigan,1.2,5,18,2.4,11.3,4.2,1.6,5.5,9.4,23.7,9.5,3.5,4.7
Minnesota,2.3,5.7,13.5,2.9,11.2,4.6,1.8,7.2,9.8,24.8,8.4,3.3,4.5
Mississippi,3,6.6,13.4,2.5,11.9,5.7,1.3,4.7,6.6,24.4,9.6,5.5,4.8
Missouri,1.7,6.1,11.5,2.7,12,5.1,2.1,6.8,9.5,24.3,9.3,4.3,4.6
Montana,7.1,8.3,4.5,2.4,11.9,4.8,1.8,5.5,8.3,23.3,11.1,6.3,4.7
Nebraska,4.5,6.8,10.8,2.8,11.7,5.6,1.9,7.3,8.4,23.8,7.9,4.2,4.7
Nevada,1.7,6.1,4.2,2,12,5.3,1.6,5.6,11.1,15.5,25.7,4.4,4.8
New Hampshire,0.8,7,12.8,2.9,12.3,3.8,2.2,6.4,10.4,24.5,8.8,3.8,4.3
New Jersey,0.3,5.7,8.3,3.4,11.2,5.9,2.8,8.5,13.1,23.8,8.4,4.1,4.5
New Mexico,4.2,6.9,4.5,2.1,11.4,4.4,1.5,4.6,11.2,25.4,11.2,7.6,5
New York,0.6,5.6,6.3,2.5,10.7,5.1,2.9,8.1,11.6,27.4,9.6,4.6,5
North Carolina,1.4,6.7,12.4,2.6,11.9,4.3,1.8,6.3,10.3,23.4,9.6,4.4,4.9
North Dakota,9.3,7.5,6.8,3.5,11.5,5.8,1.4,5.7,6.7,24.5,8,4.8,4.5
Ohio,1.1,5.1,15.5,2.7,11.7,4.8,1.7,6.4,9.4,24.1,9.2,3.8,4.5
Oklahoma,5.1,7.1,9.8,2.6,11.6,5.1,1.8,5.6,8.1,22.4,9.3,6.2,5.3
Oregon,3.3,5.7,11.4,2.9,12,4.2,1.9,5.7,10.7,23,10,4.5,4.7
Pennsylvania,1.5,5.7,12,2.8,11.7,5.2,1.7,6.4,10,25.9,8.5,4.1,4.5
Rhode Island,0.4,5.3,11,2.5,11.9,3.5,1.7,6.7,9.8,27.5,10.8,4.1,4.8
South Carolina,1,6.3,13.8,2.7,12.2,4.7,1.8,5.8,9.8,21.6,10.5,4.7,5.1
South Dakota,6.9,7.1,9.9,3,11.4,4.2,1.7,7.2,6.1,24.1,9.2,4.8,4.4
Tennessee,1,6.3,13,2.6,12.2,6.3,1.9,5.7,9.5,22.7,9.4,4.4,5
Texas,3.3,8,8.9,3,11.5,5.5,1.8,6.6,11.2,21.6,9,4.2,5.4
Utah,2,6.5,10.8,2.6,12.1,4.6,2.3,6.6,12,21.9,9.1,4.9,4.6
Vermont,2.6,7.4,10.9,2.2,11.5,3.2,2,4.8,8.8,28.1,9.3,4.8,4.4
Virginia,1,6.5,7.2,1.9,10.8,4.2,2.1,6.3,14.9,21.9,9,9,5.2
Washington,2.7,6.1,10.5,2.9,11.8,5.2,2.3,5.4,12.5,21.4,9.2,5.3,4.7
West Virginia,4.9,6.2,8,2.2,12.4,5.4,1.6,4.2,8,27,9.2,6.8,4.1
Wisconsin,2.4,5.3,18.4,2.7,11.4,4.3,1.6,6.1,8.1,23.3,8.7,3.5,4.2
Wyoming,12.5,7.6,3.9,2,11.1,6.2,1.5,3.8,6.8,22.8,10.7,6.4,4.7
